ID	Player	Team	GP	MPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	TOV	PF	ORB	DRB	RPG	APG	SPG	BPG	PPG	FF	Position	IR
1	Keith Langford	UNI	28	34	6.9	16.8	0.409	2	5.6	0.363	6	7.2	0.832	2.4	1.8	0.7	2.7	3.4	3.7	0.8	0.2	21.8	NF4	G	21.82
2	Nando De Colo	CSKA	28	27.1	6.3	12.2	0.516	1.5	3.6	0.426	5	5.2	0.959	3.2	2.2	0.1	2.8	2.9	3.9	1	0.1	19.1	F4	G	20.82
3	Brad Wanamaker	DBI	34	33.5	5.3	11.8	0.448	1.6	4.3	0.386	4.5	5.2	0.864	3	2.8	0.5	2.6	3.1	4.7	1.5	0.1	16.7	NF4	G	17.65
4	Sergio Llull	RMB	33	27.8	5.4	12.9	0.416	2.2	6.7	0.33	3.5	4.2	0.847	2.3	1.9	0.3	1.5	1.8	5.9	0.7	0.1	16.5	F4	G	16.85
5	Shane Larkin	CAJ	33	28.9	4.2	10.5	0.406	1.5	4.3	0.343	3.1	3.9	0.797	2.8	2.4	0.5	2.2	2.7	5.7	1.3	0.2	13.1	NF4	G	14.48
6	Will Clyburn	DBI	34	28.2	4.9	11.4	0.429	0.7	2.4	0.289	2.5	3.6	0.685	1.4	1.9	1.5	3.6	5.1	1.3	0.9	0.3	13	NF4	F	12.29
7	Paulius Jankunas	ZAL	30	23.6	4.4	8.5	0.52	0.6	1.6	0.396	3.5	4	0.868	1.7	3	1.4	4.7	6.1	1.5	0.6	0.4	13	NF4	F	16.77
8	Tyrese Rice	FCB	30	29.6	4.6	12.1	0.376	1.8	5.7	0.32	2	2.4	0.822	2.6	2.1	0.3	1.4	1.6	4.9	1.1	0.1	13	NF4	G	10.63
9	Georgios Printezis	OLY	32	25.4	4.9	10.4	0.468	0.8	2.1	0.403	2.2	3.1	0.7	0.7	1.1	1.3	3.8	5.1	1	0.7	0.2	12.8	F4	F	14.91
10	Thomas Heurtel	EFE	35	26.3	4.8	10.5	0.457	1	3	0.337	2.1	2.4	0.867	2.5	2.2	0.2	1.5	1.7	5.6	0.8	0	12.7	NF4	G	12.46
